iter	Logloss
0	0.6794361952
1	0.6693840027
2	0.6555953607
3	0.6421520884
4	0.6308701213
5	0.6184947316
6	0.6059912705
7	0.5906667012
8	0.5787625197
9	0.568262705
10	0.5605327327
11	0.5514162575
12	0.5444999323
13	0.5333843696
14	0.5233372944
15	0.5177649056
16	0.50954414
17	0.4973842342
18	0.4894023988
19	0.4797756846
20	0.4722398897
21	0.4650773769
22	0.4583983538
23	0.4526790061
24	0.4456273986
25	0.433460003
26	0.4260695853
27	0.4214607797
28	0.4133579905
29	0.4073779409
30	0.4008638335
31	0.3948455438
32	0.3895885188
33	0.3828475301
34	0.3779593677
35	0.3697589781
36	0.3633301665
37	0.3577300514
38	0.3536125509
39	0.3471755516
40	0.3373656157
41	0.3303344075
42	0.3261397292
43	0.3226984303
44	0.3184891445
45	0.313215907
46	0.3069773883
47	0.3000635287
48	0.2923068535
49	0.2880595137
50	0.2804312822
51	0.2776656035
52	0.2716266818
53	0.2682762844
54	0.2644311161
55	0.2615816768
56	0.2565174103
57	0.2508112512
58	0.2478422304
59	0.2422111558
60	0.2387790913
61	0.2365439578
62	0.2327361921
63	0.2260909662
64	0.2238341541
65	0.2217360008
66	0.2160995995
67	0.2138190386
68	0.2099820114
69	0.2061351683
70	0.2038201123
71	0.2015859557
72	0.1973797635
73	0.194643951
74	0.1896478606
75	0.1869097454
76	0.1819651534
77	0.179994618
78	0.177155832
79	0.1755066151
80	0.1733548002
81	0.1720412882
82	0.1677574879
83	0.1666573315
84	0.1643123045
85	0.1623578653
86	0.1603545677
87	0.1578798178
88	0.1556211565
89	0.1542161151
90	0.1522876577
91	0.1504290976
92	0.1492989587
93	0.1469392079
94	0.1438522339
95	0.1403867791
96	0.13821346
97	0.1370257401
98	0.1337815145
99	0.1324785977
100	0.1302678643
101	0.1281924597
102	0.1269746408
103	0.1247965185
104	0.1231286468
105	0.1204027083
106	0.1178831473
107	0.115415829
108	0.1129374039
109	0.1103967108
110	0.1099328762
111	0.1078159053
112	0.1070433826
113	0.1060679715
114	0.1046529863
115	0.1035589358
116	0.1025451102
117	0.1009721058
118	0.09979403891
119	0.09779283477
120	0.09675611519
121	0.09600728896
122	0.09493116053
123	0.09439684705
124	0.09265084964
125	0.09093946945
126	0.08940614142
127	0.08895144811
128	0.0883593443
129	0.08663448473
130	0.08527289949
131	0.08480724474
132	0.08350033876
133	0.0819544327
134	0.08119490088
135	0.08063678044
136	0.07995375773
137	0.0785740643
138	0.07810330972
139	0.077591489
140	0.07705511698
141	0.0757556892
142	0.07502800662
143	0.07408941083
144	0.07314331939
145	0.07246036064
146	0.07184051886
147	0.07087789512
148	0.06982035753
149	0.06916319452
150	0.06874794495
151	0.06782817841
152	0.06759373735
153	0.06651574809
154	0.06597986454
155	0.06497088293
156	0.06423919957
157	0.06396313411
158	0.06367197269
159	0.06323098555
160	0.06293453821
161	0.06246980807
162	0.06168783583
163	0.06114686989
164	0.06017727387
165	0.05956184573
166	0.05896664829
