iter	Passed	Remaining
0	2	2427
1	4	2211
2	6	2132
3	8	2104
4	10	2102
5	12	2118
6	14	2105
7	16	2094
8	18	2067
9	20	2047
10	22	2026
11	24	2010
12	26	1981
13	27	1955
14	29	1929
15	31	1908
16	32	1892
17	34	1877
18	36	1867
19	37	1852
20	39	1847
21	41	1834
22	42	1822
23	44	1809
24	46	1798
25	47	1791
26	49	1790
27	51	1785
28	53	1782
29	54	1775
30	56	1771
31	58	1765
32	60	1760
33	61	1753
34	63	1747
35	65	1744
36	66	1741
37	68	1737
38	70	1732
39	72	1729
40	73	1725
41	75	1722
42	77	1717
43	78	1714
44	80	1711
45	82	1709
46	84	1706
47	85	1702
48	87	1697
49	89	1694
50	90	1691
51	92	1689
52	94	1690
53	96	1687
54	98	1685
55	99	1682
56	101	1679
57	103	1676
58	104	1674
59	106	1671
60	108	1668
61	110	1664
62	111	1661
63	113	1658
64	115	1657
65	117	1655
66	118	1653
67	120	1650
68	122	1647
69	123	1644
70	125	1641
71	127	1639
72	128	1637
73	130	1634
74	132	1632
75	134	1631
76	135	1629
77	137	1627
78	139	1624
79	141	1622
80	142	1620
81	144	1617
82	146	1614
83	147	1612
84	149	1609
85	151	1607
86	153	1605
87	154	1603
88	156	1601
89	158	1598
90	159	1596
91	161	1594
92	163	1591
93	165	1590
94	166	1589
95	168	1586
96	170	1583
97	171	1581
98	173	1579
99	175	1577
100	176	1575
101	178	1574
102	180	1573
103	182	1572
104	184	1570
105	185	1568
106	187	1566
107	189	1565
108	191	1562
109	192	1560
110	194	1559
111	196	1557
